run_id,arch_name,dataset,noise_level,seed,run_seed,model_index,epochs,lr,num_metric_samples,in_channels,num_classes,input_size,gen_depth,gen_stages,gen_channels_str,lce,lpa,final_acc,asymptotic_tbd_mean,asymptotic_tbd_std,tau,total_tbd
plain_cnn_nbn-m7-mnist-n100-s42,plain_cnn_nbn,mnist,1.0,42,49,7,20,0.001,1000,1,10,28,8,nan,"[16, 512, 32, 512, 256, 16, 16, 64]",2.527409026328029,0.11621306443038193,9.82,0.3717070919577964,0.2973153457898488,0.10000000062018095,730.5952294557937
plain_cnn_nbn-m8-mnist-n0-s42,plain_cnn_nbn,mnist,0.0,42,50,8,20,0.001,1000,1,10,28,24,nan,"[512, 64, 32, 64, 64, 16, 512, 512, 16, 64, 32, 512, 64, 128, 128, 256, 64, 64, 128, 512, 64, 64, 16, 256]",2.4440180568273173,0.12597680254726096,11.35,0.43204173827543857,0.27651189453807085,1.7132099554266484,30.93495667930798
plain_cnn_nbn-m8-mnist-n50-s42,plain_cnn_nbn,mnist,0.5,42,50,8,20,0.001,1000,1,10,28,24,nan,"[512, 64, 32, 64, 64, 16, 512, 512, 16, 64, 32, 512, 64, 128, 128, 256, 64, 64, 128, 512, 64, 64, 16, 256]",2.7195068070436643,0.11816524040632699,11.35,0.13417378459489554,0.226984694755438,2.240149302834874,30.67885331965381
plain_cnn_nbn-m8-mnist-n100-s42,plain_cnn_nbn,mnist,1.0,42,50,8,20,0.001,1000,1,10,28,24,nan,"[512, 64, 32, 64, 64, 16, 512, 512, 16, 64, 32, 512, 64, 128, 128, 256, 64, 64, 128, 512, 64, 64, 16, 256]",2.4440180568273173,0.12597680254726096,10.09,0.0,0.0,1.3178424709976224,28.39930110618826
plain_cnn_nbn-m9-mnist-n0-s42,plain_cnn_nbn,mnist,0.0,42,51,9,20,0.001,1000,1,10,28,12,nan,"[32, 256, 256, 64, 16, 16, 64, 128, 128, 16, 512, 256]",2.5760073048556,0.1152326890866789,98.43,1445.8580827713013,263.8300225321664,1.4870818619464976,329427.54790973663
plain_cnn_nbn-m9-mnist-n50-s42,plain_cnn_nbn,mnist,0.5,42,51,9,20,0.001,1000,1,10,28,12,nan,"[32, 256, 256, 64, 16, 16, 64, 128, 128, 16, 512, 256]",2.4390932423556,0.10937616115884367,11.35,0.0,0.0,0.14385813944025397,4950.786739692674
plain_cnn_nbn-m9-mnist-n100-s42,plain_cnn_nbn,mnist,1.0,42,51,9,20,0.001,1000,1,10,28,12,nan,"[32, 256, 256, 64, 16, 16, 64, 128, 128, 16, 512, 256]",2.4793713844864316,0.10937330292169002,8.92,0.0,0.0,0.3343087823497549,246.4523236728563
plain_cnn_bn-m0-mnist-n0-s42,plain_cnn_bn,mnist,0.0,42,1042,0,20,0.001,1000,1,10,28,12,nan,"[16, 128, 32, 32, 512, 16, 64, 256, 32, 32, 256, 32]",2.75952384195683,0.11816238216917334,99.27,557.1291017532349,17.660319196666055,0.48588937949880207,14134.786670684814
plain_cnn_bn-m0-mnist-n50-s42,plain_cnn_bn,mnist,0.5,42,1042,0,20,0.001,1000,1,10,28,12,nan,"[16, 128, 32, 32, 512, 16, 64, 256, 32, 32, 256, 32]",2.4606413588713143,0.11132833713478875,98.75,560.8514490127563,29.711983276238236,0.3880085642243887,15291.810736656189
plain_cnn_bn-m0-mnist-n100-s42,plain_cnn_bn,mnist,1.0,42,1042,0,20,0.001,1000,1,10,28,12,nan,"[16, 128, 32, 32, 512, 16, 64, 256, 32, 32, 256, 32]",2.73003165445683,0.11816238216917334,0.13,660.6194478988648,70.0329564118379,0.6877227479974992,17256.14097595215
